time,i_bus_d,i_bus_q,p,q
0.3166332665330661,-8.87253667080102,9.830671305359783,8.768200264436654,8.768200264436654
0.3186372745490982,-8.872508751891854,9.83071099710217,8.768214513047154,8.768214513047154
0.32064128256513025,-8.872473676813229,9.830740538511382,8.768212434063736,8.768212434063736
0.3226452905811623,-8.872455330057123,9.830787325680301,8.768242151330776,8.768242151330776
0.3246492985971944,-8.872429730064361,9.830823947127692,8.768255439717462,8.768255439717462
0.32665330661322645,-8.872404887749848,9.830859605276764,8.768268453541491,8.768268453541491
0.3286573146292585,-8.87238076414624,9.830894330592718,8.768281188163613,8.768281188163613
0.3306613226452906,-8.872357329416111,9.830928143392603,8.768293637069627,8.768293637069627
0.33266533066132264,-8.872334560930046,9.83096106293078,8.768305799096742,8.768305799096742
0.33466933867735466,-8.872312439342739,9.830993109989386,8.768317677498734,8.768317677498734
0.3366733466933867,-8.872290946233377,9.831024306470171,8.768329277451105,8.768329277451105
0.3386773547094188,-8.87227006335785,9.83105467443956,8.768340604448793,8.768340604448793
0.34068136272545085,-8.872249772684802,9.831084235531009,8.768351663750591,8.768351663750591
0.3426853707414829,-8.872230056597074,9.831113010751055,8.768362460367161,8.768362460367161
0.344689378757515,-8.872210898013758,9.831141020490259,8.768372999180018,8.768372999180018
0.34669338677354705,-8.872192325202894,9.831168332070881,8.768383371445125,8.768383371445125
0.3486973947895791,-8.872174187954915,9.831194855745947,8.768393355652952,8.768393355652952
0.3507014028056112,-8.87215659321083,9.831220664959437,8.768403118878993,8.768403118878993
0.35270541082164325,-8.872139507676156,9.83124579419918,8.768412665481359,8.768412665481359
0.3547094188376753,-8.872122904286181,9.831270260635186,8.768421988320467,8.768421988320467
0.3567134268537074,-8.872106764536383,9.831294077003216,8.768431083492539,8.768431083492539
0.35871743486973945,-8.87209107468169,9.831317256969722,8.768439952231859,8.768439952231859
0.3607214428857715,-8.872075822470581,9.831339815760137,8.768448598630881,8.768448598630881
0.3627254509018036,-8.872060995724125,9.831361769263637,8.7684570274994,8.7684570274994
0.36472945891783565,-8.872046582112725,9.831383133224252,8.768465243371221,8.768465243371221
0.3667334669338677,-8.872032569350145,9.831403922873971,8.768473250315571,8.768473250315571
0.3687374749498998,-8.872018945383935,9.831424152874929,8.7684810520492,8.7684810520492
0.37074148296593185,-8.872004919154977,9.831442858670162,8.768486998440332,8.768486998440332
0.3727454909819639,-8.87199283350945,9.831463033102786,8.768496110455485,8.768496110455485
0.374749498997996,-8.871980281582331,9.831481645819869,8.768503273443933,8.768503273443933
0.37675350701402804,-8.871968096752743,9.831499757515761,8.768510269591548,8.768510269591548
0.3787575150300601,-8.871956252070381,9.831517385928734,8.768517092423485,8.768517092423485
0.3807615230460922,-8.871944729343177,9.831534539258978,8.768523733858121,8.768523733858121
0.38276553106212424,-8.871933516935378,9.831551225002206,8.768530190938188,8.768530190938188
0.38476953907815625,-8.87192260587013,9.83156745235734,8.768536464740084,8.768536464740084
0.3867735470941883,-8.87191198755605,9.831583231753408,8.768542557891776,8.768542557891776
0.3887775551102204,-8.871901748152402,9.831598670866233,8.768548652692417,8.768548652692417
0.39078156312625245,-8.871891863537936,9.831613766641578,8.768554724736342,8.768554724736342
0.3927855711422845,-8.871882229320486,9.83162843239706,8.768560596182544,8.768560596182544
0.3947895791583166,-8.871872839574811,9.831642680719485,8.768566274146512,8.768566274146512
0.39679358717434865,-8.871863730144879,9.831656571357643,8.768571849169007,8.768571849169007
0.3987975951903807,-8.871854769641917,9.831670005860493,8.768577107887745,8.768577107887745
0.4008016032064128,-8.871846069089585,9.831683053112076,8.768582216523576,8.768582216523576
0.40280561122244485,-8.871837604949114,9.831695739306573,8.768587179944413,8.768587179944413
0.4048096192384769,-8.871829360073672,9.831708074304217,8.768591992630197,8.768591992630197
0.406813627254509,-8.871821325455697,9.831720064159079,8.768596652539934,8.768596652539934
0.40881763527054105,-8.871813496368016,9.831731716157124,8.76860116264138,8.76860116264138
0.4108216432865731,-8.871804518720669,9.831741585114706,8.768602900743316,8.768602900743316
0.4128256513026052,-8.871798439629075,9.83175404215021,8.768609754937094,8.768609754937094
0.41482965931863724,-8.871790482589969,9.8317639753221,8.768612461670768,8.768612461670768
0.4168336673346693,-8.871783474501234,9.831774406383342,8.768616499822386,8.768616499822386
0.4188376753507014,-8.871776199535962,9.831784036073763,8.768619513332382,8.768619513332382
0.42084168336673344,-8.871769609059234,9.83179395124884,8.768623414802017,8.768623414802017
0.4228456913827655,-8.871763203200404,9.831803601999365,8.76862722009742,8.76862722009742
0.4248496993987976,-8.871756976102873,9.831812994925242,8.768630930510543,8.768630930510543
0.42685370741482964,-8.871751228540871,9.831822485590354,8.768635162463829,8.768635162463829
0.4288577154308617,-8.871745302838233,9.831831337136967,8.768638608017037,8.768638608017037
0.4308617234468938,-8.871739794807636,9.83184023017783,8.768642464925835,8.768642464925835
0.43286573146292584,-8.871734117659539,9.831848531759194,8.768645590294986,8.768645590294986
0.4348697394789579,-8.871728488363603,9.83185648281638,8.768648413497042,8.768648413497042
0.4368737474949899,-8.871723189378406,9.831864414994728,8.768651511189708,8.768651511189708
0.438877755511022,-8.871717946779503,9.831872028494148,8.768654345594758,8.768654345594758
0.44088176352705405,-8.871713026583798,9.831879642259477,8.76865746629665,8.76865746629665
0.4428857715430861,-8.871708152982373,9.831886947995844,8.768660325493249,8.768660325493249
0.4448897795591182,-8.871703411425894,9.831894054634493,8.768663106093147,8.768663106093147
0.44689378757515025,-8.871698839358384,9.83190101737128,8.768665895582965,8.768665895582965
0.4488977955911823,-8.871694310819608,9.83190772412995,8.768668472021758,8.768668472021758
0.4509018036072144,-8.871689943250614,9.83191425031886,8.768671013739857,8.768671013739857
0.45290581162324645,-8.871685720029006,9.831920621398757,8.768673531022634,8.768673531022634
0.4549098196392785,-8.871681608384456,9.831926821798517,8.768675979487405,8.768675979487405
0.4569138276553106,-8.87167760095873,9.831932851649283,8.768678352734662,8.768678352734662
0.45891783567134264,-8.871673697972364,9.831938713870437,8.768680653829946,8.768680653829946
0.4609218436873747,-8.87166989786512,9.83194441297351,8.768682885824356,8.768682885824356
0.4629258517034068,-8.87166619886576,9.831949953965141,8.76868505206862,8.76868505206862
0.46492985971943884,-8.871662598920908,9.831955341857197,8.768687155668317,8.768687155668317
0.4669338677354709,-8.871659096474822,9.831960582206257,8.768689200706104,8.768689200706104
0.468937875751503,-8.871655687938466,9.83196567858146,8.768691187506736,8.768691187506736
0.47094188376753504,-8.87165244217275,9.831970676912771,8.768693222319115,8.768693222319115
0.4729458917835671,-8.871649158638222,9.831975498758627,8.768695050107812,8.768695050107812
0.4749498997995992,-8.871645997819396,9.831980166092528,8.768696834853088,8.768696834853088
0.47695390781563124,-8.87164294681475,9.83198471313811,8.76869859875747,8.76869859875747
0.4789579158316633,-8.871639984193092,9.831989146496484,8.768700329297914,8.768700329297914
0.48096192384769537,-8.871637103171317,9.831993466331388,8.768702020617454,8.768702020617454
0.48296593186372744,-8.87163429880434,9.831997670628892,8.768703666348676,8.768703666348676
0.4849699398797595,-8.871631571371964,9.83200176183561,8.768705269145116,8.768705269145116
0.48697394789579157,-8.871628919508145,9.832005742894449,8.768706830688135,8.768706830688135
0.4889779559118236,-8.871626341536048,9.832009617000198,8.768708352631034,8.768708352631034
0.49098196392785565,-8.871623836625163,9.832013387879986,8.768709837901353,8.768709837901353
0.4929859719438877,-8.871621400796386,9.832017057873886,8.768711285269575,8.768711285269575
0.4949899799599198,-8.871619031408407,9.832020628513204,8.768712693897852,8.768712693897852
0.49699398797595185,-8.87161676678138,9.832024152671789,8.768714149767895,8.768714149767895
0.4989979959919839,-8.871614487605592,9.832027516494149,8.768715435089577,8.768715435089577
