Index,"('voltage_source_4a_0', 'i_bus_d')","('voltage_source_4a_0', 'i_bus_q')","('gfmi_18a_0', 'phase')","('gfmi_18a_0', 'w')","('gfmi_18a_0', 'q_f')","('gfmi_18a_0', 'z_vc_d')","('gfmi_18a_0', 'z_vc_q')","('gfmi_18a_0', 'z_cc_d')","('gfmi_18a_0', 'z_cc_q')","('gfmi_18a_0', 'i_vsc_d')","('gfmi_18a_0', 'i_vsc_q')","('gfmi_18a_0', 'i_bus_d')","('gfmi_18a_0', 'i_bus_q')","('gfmi_18a_0', 'v_lcl_sh_d')","('gfmi_18a_0', 'v_lcl_sh_q')","('constant_impedance_loads_0', 'i_bus_D')","('constant_impedance_loads_0', 'i_bus_Q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('gfmi_18a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,-3.240075524394092e-14,0.0,0.0,0.0,0.0,0.0,5711.9866428905325,0.0,-5711.9866428905325,0.0,-571.1986642890532,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_18a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,-353.61569027785146,0.0,0.0,0.0,0.0,0.0,0.0,5711.9866428905325,0.0,-5711.9866428905325,-376.99111843077515,-571.1986642890532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('constant_impedance_loads_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-942.4777960769377,376.99111843077515,0.0,0.0,-605.6921143851915,0.0,0.0,0.0
"('constant_impedance_loads_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-942.4777960769377,0.0,0.0,0.0,-605.6921143851915,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",753972.4329042642,-3844.9867583129358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-188.49555921538757,376.99111843077515,0.0,0.0,-753982.2368615502,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",3844.9867583129358,753972.4329042642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-188.49555921538757,0.0,0.0,0.0,-753982.2368615502
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,-177834.9865161968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640133.0905584074,398395.3311409269,0.0,0.0,753982.2368615502,0.0,0.0,0.0,-188.49555921538757,376.99111843077515,753982.2368615502,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,-354843.55399145145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-398395.3311409269,640133.0905584074,0.0,0.0,0.0,753982.2368615502,0.0,0.0,-376.99111843077515,-188.49555921538757,0.0,753982.2368615502
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.4777960769379,0.0,-942.4777960769379,0.0,-37.69911184307751,376.99111843077515
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.4777960769379,0.0,-942.4777960769379,-376.99111843077515,-37.69911184307751
